140960005,E08,14032154,Structure Fire,04/06/2014,04/05/2014,Fire,04/06/2014 12:13:07 AM,100 Block of 6TH ST,SAN FRANCISCO,94103,B03,01,2252,3,3,3,true,Alarm,1,ENGINE,7,3,6,South of Market,"(37.7799892619986, -122.407376463936)",140960005-E08,5.8
140960022,84,14032171,Medical Incident,04/06/2014,04/05/2014,Other,04/06/2014 02:19:40 AM,600 Block of SUTTER ST,SAN FRANCISCO,94102,B01,03,1412,,2,2,true,Non Life-threatening,1,MEDIC,2,1,3,Nob Hill,"(37.7888577062877, -122.411053107983)",140960022-84,4.95
140960026,54,14032174,Medical Incident,04/06/2014,04/05/2014,Code 2 Transport,,4000 Block of 18TH ST,SAN FRANCISCO,94114,B05,06,5415,3,3,3,true,Potentially Life-Threatening,1,MEDIC,2,5,8,Castro/Upper Market,"(37.7609766090845, -122.434457353955)",140960026-54,3.15
140960028,E37,14032176,Medical Incident,04/06/2014,04/05/2014,Other,04/06/2014 01:36:58 AM,KANSAS ST/24TH ST,SAN FRANCISCO,94107,B10,37,2622,E,3,3,false,Potentially Life-Threatening,1,ENGINE,1,10,10,Potrero Hill,"(37.7532360272665, -122.402436075845)",140960028-E37,3.6333334
140960042,E35,14032193,Medical Incident,04/06/2014,04/05/2014,Against Medical Advice,04/06/2014 03:05:48 AM,0 Block of ESSEX ST,SAN FRANCISCO,94105,B03,35,2136,2,2,2,true,Non Life-threatening,1,ENGINE,1,3,6,Financial District/South Beach,"(37.7860048266227, -122.39507725881)",140960042-E35,16.75
140960047,E16,14032192,Medical Incident,04/06/2014,04/05/2014,Code 2 Transport,04/06/2014 02:50:45 AM,2000 Block of UNION ST,SAN FRANCISCO,94123,B04,16,3443,,2,2,true,Potentially Life-Threatening,1,ENGINE,1,4,2,Marina,"(37.797348256887, -122.433014556662)",140960047-E16,5.016667
140960124,54,14032264,Medical Incident,04/06/2014,04/06/2014,Other,04/06/2014 09:29:17 AM,POLK ST/FILBERT ST,SAN FRANCISCO,94109,B01,41,1626,2,2,2,true,Non Life-threatening,1,MEDIC,1,4,2,Russian Hill,"(37.7996936717346, -122.422525217074)",140960124-54,1.4166666
140960141,54,14032271,Medical Incident,04/06/2014,04/06/2014,Patient Declined Transport,04/06/2014 10:57:01 AM,1000 Block of POLK ST,SAN FRANCISCO,94109,B04,03,3121,2,2,2,true,Non Life-threatening,1,MEDIC,2,4,6,Tenderloin,"(37.7861172118379, -122.419854245692)",140960141-54,3.4333334
140960162,58,14032285,Medical Incident,04/06/2014,04/06/2014,Code 2 Transport,04/06/2014 12:28:39 PM,1400 Block of HUDSON AVE,,94124,B10,25,6521,,3,3,true,Potentially Life-Threatening,1,MEDIC,3,10,10,Bayview Hunters Point,"(37.7383338978754, -122.385135095076)",140960162-58,2.6666667
140960179,E01,14032301,Medical Incident,04/06/2014,04/06/2014,Patient Declined Transport,04/06/2014 12:03:17 PM,0 Block of 6TH ST,SAN FRANCISCO,94103,B03,01,2251,3,3,3,true,Potentially Life-Threatening,1,ENGINE,1,3,6,South of Market,"(37.7811458612596, -122.409026046516)",140960179-E01,1.5833334
